,symbol,name,reportDate,fiscalDateEnding,estimate,currency
2414,MUFG,Mitsubishi UFJ Financial Group Inc,2023-11-14,2023-09-30,0.1778,JPY
3517,TNON,Tenon Medical Inc,2023-11-14,2023-09-30,-2.8,USD
486,BIRMF,BIRMF,2023-11-14,2023-09-30,,CAD
3516,TNGNQ,TNGNQ,2023-11-14,2023-09-30,0,USD
2394,MSLPQ,MSLPQ,2023-11-14,2023-09-30,0,USD
3723,VIPS,Vipshop Holdings Ltd,2023-11-14,2023-09-30,0.4,CNY
3508,TME,Tencent Music Entertainment Group,2023-11-14,2023-09-30,0.12,CNY
2383,MRZM,MRZM,2023-11-14,2023-09-30,,USD
1511,GCEH,GCEH,2023-11-14,2023-09-30,0.021,USD
269,ASFT,ASFT,2023-11-14,2023-09-30,,USD
2891,PTIX,Protagenic Therapeutics Inc,2023-11-14,2023-09-30,,USD
1512,GCFB,GCFB,2023-11-14,2023-09-30,0,USD
2892,PTN,Palatin Technologies Inc,2023-11-14,2023-09-30,-0.41,USD
1035,DBGI,Digital Brands Group Inc,2023-11-14,2023-09-30,,USD
2953,RBTK,RBTK,2023-11-14,2023-09-30,,USD
3753,VPRB,VPRB,2023-11-14,2023-09-30,,USD
1026,DADA,Dada Nexus Ltd,2023-11-14,2023-09-30,-0.01,CNY
3780,VTSI,VirTra Inc,2023-11-14,2023-09-30,-0.05,USD
993,CVSI,CVSI,2023-11-14,2023-09-30,-0.01,USD
539,BNR,Burning Rock Biotech Ltd,2023-11-14,2023-09-30,-1.32,CNY
2992,RGCO,RGC Resources Inc,2023-11-14,2023-09-30,-0.02,USD
3783,VVOS,Vivos Therapeutics Inc,2023-11-14,2023-09-30,-3.12,USD
2306,MITQ,Moving iMage Technologies Inc,2023-11-14,2023-09-30,,USD
2727,PBSFY,PBSFY,2023-11-14,2023-09-30,0.0462,EUR
1625,GRIN,Grindrod Shipping Holdings Ltd,2023-11-14,2023-09-30,-0.21,USD
195,AOIFF,AOIFF,2023-11-14,2023-09-30,0.11,USD
194,AOBI,AOBI,2023-11-14,2023-09-30,0,USD
3460,TFFP,Tff Pharmaceuticals Inc,2023-11-14,2023-09-30,-0.11,USD
1627,GRNQ,Greenpro Capital Corp,2023-11-14,2023-09-30,,USD
1628,GROY,Gold Royalty Corp,2023-11-14,2023-09-30,-0.01,USD
1630,GRTX,Galera Therapeutics Inc,2023-11-14,2023-09-30,-0.4,USD
3025,RMTI,Rockwell Medical Inc,2023-11-14,2023-09-30,-0.1,USD
963,CTSDF,CTSDF,2023-11-14,2023-09-30,,CAD
187,ANGH,Anghami Inc,2023-11-14,2023-09-30,0,USD
3026,RMTO,RMTO,2023-11-14,2023-09-30,0,USD
2297,MHPC,MHPC,2023-11-14,2023-09-30,,USD
3779,VTRU,Vitru Ltd,2023-11-14,2023-09-30,0.25,BRL
2446,NCNA,NuCana plc,2023-11-14,2023-09-30,-0.12,GBP
3776,VSYS,VSYS,2023-11-14,2023-09-30,0,CAD
2322,MLCT,MLCT,2023-11-14,2023-09-30,,USD
2348,MNTS,Momentus Inc - Class A,2023-11-14,2023-09-30,-7.09,USD
1567,GIPR,Generation Income Properties Inc,2023-11-14,2023-09-30,0.42,USD
2967,REBN,Reborn Coffee Inc,2023-11-14,2023-09-30,0,USD
3757,VREX,Varex Imaging Corp,2023-11-14,2023-09-30,0.35,USD
1573,GLAE,GLAE,2023-11-14,2023-09-30,0,USD
3765,VRXWF,VRXWF,2023-11-14,2023-09-30,,CAD
3486,TIO,Tingo Group Inc,2023-11-14,2023-09-30,0.46,USD
2974,REKR,Rekor Systems Inc,2023-11-14,2023-09-30,-0.14,USD
1005,CXAI,CXApp Inc - Class A,2023-11-14,2023-09-30,-0.28,USD
1580,GLMD,Galmed Pharmaceuticals Ltd,2023-11-14,2023-09-30,-0.3,USD
220,APHLF,APHLF,2023-11-14,2023-09-30,,CAD
532,BNET,BNET,2023-11-14,2023-09-30,-0.01,USD
1585,GMDA,Gamida Cell Ltd,2023-11-14,2023-09-30,-0.17,USD
217,APGN,APGN,2023-11-14,2023-09-30,-0.19,USD
1589,GNAL,GNAL,2023-11-14,2023-09-30,0,USD
1592,GNPX,Genprex Inc,2023-11-14,2023-09-30,-0.11,USD
2329,MLTX,MoonLake Immunotherapeutics - Class A,2023-11-14,2023-09-30,-0.23,USD
995,CVV,CVD Equipment Corp,2023-11-14,2023-09-30,,USD
1600,GOEV,Canoo Inc - Class A,2023-11-14,2023-09-30,-0.12,USD
1608,GP,GreenPower Motor Company Inc,2023-11-14,2023-09-30,-0.08,USD
1111,DPSI,DecisionPoint Systems Inc,2023-11-14,2023-09-30,0.07,USD
3718,VIEW,View Inc - Class A,2023-11-14,2023-09-30,-6.41,USD
1113,DQWS,DQWS,2023-11-14,2023-09-30,,USD
2789,PIK,Kidpik Corp,2023-11-14,2023-10-31,-0.2,USD
3589,TSVT,2seventy bio Inc,2023-11-14,2023-09-30,-1.03,USD
364,AYTU,Aytu BioPharma Inc,2023-11-14,2023-09-30,-0.04,USD
1214,ELBM,Electra Battery Materials Corp,2023-11-14,2023-09-30,-0.0445,CAD
1212,EIC,Eagle Point Income Company Inc,2023-11-14,2023-09-30,,USD
360,AYASF,AYASF,2023-11-14,2023-09-30,,USD
359,AYALY,AYALY,2023-11-14,2023-09-30,0.3124,PHP
1326,FATH,Fathom Digital Manufacturing Corporation - Class A,2023-11-14,2023-09-30,-1,USD
2653,ONTX,Onconova Therapeutics Inc,2023-11-14,2023-09-30,-0.29,USD
2651,ONON,On Holding AG Class A,2023-11-14,2023-09-30,,CHF
422,BCLI,Brainstorm Cell Therapeutics Inc,2023-11-14,2023-09-30,-0.14,USD
2648,ONDS,Ondas Holdings Inc,2023-11-14,2023-09-30,-0.17,USD
1209,EGRX,Eagle Pharmaceuticals Inc,2023-11-14,2023-09-30,1.09,USD
3664,URGN,UroGen Pharma Ltd,2023-11-14,2023-09-30,-0.85,USD
2644,OMTK,OMTK,2023-11-14,2023-09-30,0,USD
350,AWLCF,AWLCF,2023-11-14,2023-09-30,0,USD
2640,OMIC,Singular Genomics Systems Inc,2023-11-14,2023-09-30,-0.38,USD
3580,TSHA,Taysha Gene Therapies Inc,2023-11-14,2023-09-30,-0.17,USD
1344,FCIC,FCIC,2023-11-14,2023-09-30,,USD
1318,EZPW,EZCorp Inc - Class A,2023-11-14,2023-09-30,0.19,USD
1203,EGFHF,EGFHF,2023-11-14,2023-09-30,,CAD
2668,ORBT,ORBT,2023-11-14,2023-09-30,,USD
2683,OSSIF,OSSIF,2023-11-14,2023-09-30,,CAD
2738,PCYG,PCYG,2023-11-14,2023-09-30,0.07,USD
2749,PDSB,PDS Biotechnology Corporation,2023-11-14,2023-09-30,-0.45,USD
2759,PETV,PetVivo Holdings Inc,2023-11-14,2023-09-30,,USD
3621,UAHC,UAHC,2023-11-14,2023-09-30,0,USD
1278,ESNC,ESNC,2023-11-14,2023-09-30,0,USD
1243,ENR,Energizer Holdings Inc,2023-11-14,2023-09-30,1.13,USD
2707,PALAF,PALAF,2023-11-14,2023-09-30,0,USD
3601,TTNMF,TTNMF,2023-11-14,2023-09-30,,CAD
383,BABYF,BABYF,2023-11-14,2023-09-30,,CAD
3638,UEEC,UEEC,2023-11-14,2023-09-30,,USD
2786,PHXM,PHAXIAM Therapeutics S.A.,2023-11-14,2023-09-30,-0.2263,EUR
2699,OZSC,OZSC,2023-11-14,2023-09-30,,USD
3600,TTNDY,TTNDY,2023-11-14,2023-09-30,0,USD
376,AZUL,Azul S.A.,2023-11-14,2023-09-30,-0.14,BRL
2695,OXBR,Oxbridge Re Holdings Ltd,2023-11-14,2023-09-30,,USD
2693,OWPC,OWPC,2023-11-14,2023-09-30,,USD
2690,OTRK,Ontrak Inc,2023-11-14,2023-09-30,-0.29,USD
1239,ENDI,ENDI,2023-11-14,2023-09-30,,USD
2684,OST,Ostin Technology Group Co Ltd,2023-11-14,2023-09-30,,USD
2677,ORZCF,ORZCF,2023-11-14,2023-09-30,0.0494,USD
2292,MHCUF,MHCUF,2023-11-14,2023-09-30,,USD
3297,SPDC,SPDC,2023-11-14,2023-09-30,0,USD
2613,OCSL,Oaktree Specialty Lending Corp,2023-11-14,2023-09-30,0.63,USD
2851,PPSI,Pioneer Power Solutions Inc,2023-11-14,2023-09-30,0.05,USD
2853,PRBZF,PRBZF,2023-11-14,2023-09-30,,CAD
1144,DUOT,Duos Technologies Group Inc,2023-11-14,2023-09-30,-0.32,USD
1436,FPAY,FlexShopper Inc,2023-11-14,2023-09-30,-0.25,USD
1142,DTST,Data Storage Corp,2023-11-14,2023-09-30,0.02,USD
3702,VDRM,VDRM,2023-11-14,2023-09-30,,USD
2481,NGS,Natural Gas Services Group Inc,2023-11-14,2023-09-30,0.07,USD
3706,VELXF,VELXF,2023-11-14,2023-09-30,,USD
3541,TRAK,ReposiTrak,2023-11-14,2023-09-30,0.07,USD
459,BFX,BowFlex Inc,2023-11-14,2023-09-30,-0.26,USD
3707,VERO,Venus Concept Inc,2023-11-14,2023-09-30,-1.51,USD
465,BGMD,BGMD,2023-11-14,2023-09-30,0,USD
2466,NETI,Eneti Inc,2023-11-14,2023-09-30,0.27,USD
3532,TORXF,TORXF,2023-11-14,2023-09-30,0.4065,USD
3712,VFRM,VFRM,2023-11-14,2023-09-30,,USD
1460,FSI,Flexible Solutions International Inc,2023-11-14,2023-09-30,0.09,USD
3529,TOMZ,TOMI Environmental Solutions Inc,2023-11-14,2023-09-30,-0.02,USD
1121,DRUNF,DRUNF,2023-11-14,2023-09-30,,CAD
2454,NDRA,ENDRA Life Sciences Inc,2023-11-14,2023-09-30,-0.43,USD
1163,EAST,Eastside Distilling Inc,2023-11-14,2023-09-30,-1.26,USD
1198,EFSH,1847 Holdings LLC,2023-11-14,2023-09-30,,USD
316,ATXG,Addentax Group Corp,2023-11-14,2023-09-30,,USD
448,BEST,BEST Inc,2023-11-14,2023-09-30,,CNY
2612,OCLN,OCLN,2023-11-14,2023-09-30,,USD
1370,FFNTF,FFNTF,2023-11-14,2023-10-31,,USD
1191,EESE,EESE,2023-11-14,2023-10-31,,USD
3568,TRVN,Trevena Inc,2023-11-14,2023-09-30,-0.15,USD
3564,TRUMY,TRUMY,2023-11-14,2023-09-30,0.2128,JPY
333,AVCNF,AVCNF,2023-11-14,2023-09-30,,CAD
2831,POAI,Predictive Oncology Inc,2023-11-14,2023-09-30,,USD
2565,NUVM,NUVM,2023-11-14,2023-09-30,0,USD
2560,NU,Nu Holdings Ltd Class A,2023-11-14,2023-09-30,0.06,USD
437,BEAT,HeartBeam Inc,2023-11-14,2023-09-30,-0.13,USD
2832,POCI,Precision Optics Corp Inc,2023-11-14,2023-09-30,,USD
1402,FLNT,Fluent Inc,2023-11-14,2023-09-30,-0.03,USD
2538,NRXP,NRX Pharmaceuticals Inc,2023-11-14,2023-09-30,-0.11,USD
2525,NOTE,FiscalNote Holdings Inc - Class A,2023-11-14,2023-09-30,-0.122,USD
440,BEEM,Beam Global,2023-11-14,2023-09-30,-0.33,USD
2835,POL,Polished.com Inc,2023-11-14,2023-09-30,0,USD
1173,ECC,Eagle Point Credit Company Inc,2023-11-14,2023-09-30,0.33,USD
3692,VBIV,VBI Vaccines Inc,2023-11-14,2023-09-30,-0.14,USD
1166,EBCOY,EBCOY,2023-11-14,2023-09-30,0,JPY
2506,NLS,NLS,2023-11-14,2023-09-30,-0.26,USD
2287,MGIC,Magic Software Enterprises Ltd,2023-11-14,2023-09-30,0.26,USD
3788,VYEY,VYEY,2023-11-14,2023-09-30,0,USD
1649,GULTU,GULTU,2023-11-14,2023-09-30,,USD
75,AERG,AERG,2023-11-14,2023-09-30,0,USD
74,AEMMY,AEMMY,2023-11-14,2023-09-30,0,EUR
73,AEMD,Aethlon Medical Inc,2023-11-14,2023-09-30,-1.4,USD
1823,IGEN,IGEN,2023-11-14,2023-09-30,,USD
1824,IGIC,International General Insurance Holdings Ltd,2023-11-14,2023-09-30,0.49,USD
3225,SLE,Super League Enterprise Inc,2023-11-14,2023-09-30,-1.69,USD
3362,STRC,Sarcos Technology and Robotics Corporation,2023-11-14,2023-09-30,-0.59,USD
1829,IHS,IHS Holding Ltd,2023-11-14,2023-09-30,0.04,USD
2063,KTTA,Pasithea Therapeutics Corp,2023-11-14,2023-09-30,-0.18,USD
642,CACH,CACH,2023-11-14,2023-09-30,0,USD
645,CAE,Cae Inc,2023-11-14,2023-09-30,0.14,CAD
3229,SLGG,SLGG,2023-11-14,2023-09-30,-0.11,USD
3235,SLN,Silence Therapeutics Plc,2023-11-14,2023-09-30,-0.1741,GBP
1839,IMBBY,IMBBY,2023-11-14,2023-09-30,2.09,GBP
59,ADN,Advent Technologies Holdings Inc - Class A,2023-11-14,2023-09-30,-0.15,USD
648,CAHO,CAHO,2023-11-14,2023-09-30,,USD
3924,YOURF,YOURF,2023-11-14,2023-09-30,,USD
2052,KRLCF,KRLCF,2023-11-14,2023-09-30,,USD
3226,SLE_OLD,SLE_OLD,2023-11-14,2023-09-30,-1.69,USD
77,AEY,Addvantage Technologies Group,2023-11-14,2023-09-30,,USD
2064,KULR,KULR Technology Group Inc,2023-11-14,2023-09-30,-0.05,USD
3221,SKYED,SKYED,2023-11-14,2023-09-30,,USD
1778,HUT,Hut 8 Mining Corp,2023-11-14,2023-09-30,-0.0832,CAD
1779,HUYA,HUYA Inc,2023-11-14,2023-09-30,-0.03,CNY
2118,LILM,Lilium N.V - Class A,2023-11-14,2023-09-30,-0.1346,EUR
97,AGTX,AGTX,2023-11-14,2023-08-31,,USD
2102,LEO,BNY Mellon Strategic Municipals Inc,2023-11-14,2023-09-30,,USD
1788,HYZN,Hyzon Motors Inc - Class A,2023-11-14,2023-09-30,-0.16,USD
2094,LEAI,LEAI,2023-11-14,2023-09-30,,USD
812,CMCT,Creative Media & Community Trust,2023-11-14,2023-09-30,-0.69,USD
1798,ICCT,iCoreConnect Inc,2023-11-14,2023-09-30,,USD
3184,SHPW,Shapeways Holdings Inc,2023-11-14,2023-09-30,-0.95,USD
2283,MFON,MFON,2023-11-14,2023-09-30,,USD
1805,ICU,SeaStar Medical Holding Corp,2023-11-14,2023-09-30,-0.25,USD
3187,SHWZ,SHWZ,2023-11-14,2023-09-30,-0.1,USD
794,CLIR,ClearSign Technologies Corp,2023-11-14,2023-09-30,-0.04,USD
787,CLBT,Cellebrite DI Ltd,2023-11-14,2023-09-30,0.0256,USD
83,AFMD,Affimed N.V.,2023-11-14,2023-09-30,-0.2,EUR
2067,KWAC,KWAC,2023-11-14,2023-09-30,,USD
631,BZ,Kanzhun Ltd,2023-11-14,2023-09-30,0.14,CNY
3220,SKYE,SKYE,2023-11-14,2023-09-30,0,USD
1846,IMNN,Imunon Inc,2023-11-14,2023-09-30,-0.66,USD
53,ADERY,ADERY,2023-11-14,2023-09-30,0,JPY
1852,IMUX,Immunic Inc,2023-11-14,2023-09-30,-0.55,USD
2040,KNTNF,KNTNF,2023-11-14,2023-09-30,0.0708,USD
1900,IPWR,Ideal Power Inc,2023-11-14,2023-09-30,-0.43,USD
716,CDXFF,CDXFF,2023-11-14,2023-09-30,,CAD
1905,IRIX,IRIDEX Corp,2023-11-14,2023-09-30,-0.12,USD
672,CBDS,CBDS,2023-11-14,2023-09-30,,USD
1985,JUSHF,JUSHF,2023-11-14,2023-09-30,-0.08,CAD
1919,ISUN,iSun Inc,2023-11-14,2023-09-30,-0.04,USD
710,CDEVY,CDEVY,2023-11-14,2023-09-30,0,SGD
1926,ITRM,Iterum Therapeutics Plc,2023-11-14,2023-09-30,-0.83,USD
13,AATC,AATC,2023-11-14,2023-09-30,0,USD
1933,IVDA,Iveda Solutions Inc,2023-11-14,2023-09-30,0.01,USD
3321,SRFM,Surf Air Mobility Inc,2023-11-14,2023-09-30,-0.18,USD
704,CCORF,CCORF,2023-11-14,2023-09-30,,CAD
1939,IZEA,IZEA Worldwide Inc,2023-11-14,2023-09-30,-0.07,USD
682,CBSTF,CBSTF,2023-11-14,2023-09-30,-0.07,USD
3285,SOND,Sonder Holdings Inc - Class A,2023-11-14,2023-09-30,-2.97,USD
1943,JAGX,Jaguar Health Inc,2023-11-14,2023-09-30,-1.23,USD
1944,JAN,JanOne Inc,2023-11-14,2023-09-30,0,USD
3291,SOPA,Society Pass Inc,2023-11-14,2023-09-30,-0.115,USD
1954,JD,JD.com Inc,2023-11-14,2023-09-30,5.89,CNY
23,ABILF,ABILF,2023-11-14,2023-09-30,0,USD
3181,SHMP,SHMP,2023-11-14,2023-09-30,,USD
1899,IPW,iPower Inc,2023-11-14,2023-09-30,-0.06,USD
3265,SNDA,Sonida Senior Living Inc,2023-11-14,2023-09-30,-2.01,USD
50,ACXP,Acurx Pharmaceuticals Inc,2023-11-14,2023-09-30,-0.27,USD
1859,INCR,INC Research Holdings Inc,2023-11-14,2023-09-30,0.0302,ILS
3241,SLSDF,SLSDF,2023-11-14,2023-09-30,,USD
652,CALIQ,CALIQ,2023-11-14,2023-09-30,0,USD
1870,INLX,Intellinetics Inc,2023-11-14,2023-09-30,0.04,USD
3242,SLTTF,SLTTF,2023-11-14,2023-09-30,,CAD
2021,KITT,Nauticus Robotics Inc,2023-11-14,2023-09-30,-0.16,USD
3928,YTEN,Yield10 Bioscience Inc,2023-11-14,2023-09-30,-0.39,USD
3348,STCB,STCB,2023-11-14,2023-09-30,,USD
1873,INPX,Inpixon,2023-11-14,2023-09-30,,USD
1881,INTZ,Intrusion Inc,2023-11-14,2023-09-30,-0.11,USD
1882,INVI,INVI,2023-11-14,2023-09-30,0,USD
656,CAMT,Camtek Ltd,2023-11-14,2023-09-30,0.48,USD
3249,SMFG,Sumitomo Mitsui Financial Group Inc,2023-11-14,2023-09-30,0.2385,JPY
658,CAPC,CAPC,2023-11-14,2023-09-30,,USD
659,CAPR,Capricor Therapeutics Inc,2023-11-14,2023-09-30,-0.29,USD
3263,SNAX,Stryve Foods Inc - Class A,2023-11-14,2023-09-30,-1.65,USD
1892,IPHA,Innate Pharma,2023-11-14,2023-09-30,0,EUR
3336,SSKN,STRATA Skin Sciences Inc,2023-11-14,2023-09-30,-0.04,USD
3943,ZEVY,ZEVY,2023-11-14,2023-09-30,-3.18,USD
3178,SHFS,SHF Holdings Inc - Class A,2023-11-14,2023-09-30,,USD
2735,PCSV,PCSV,2023-11-14,2023-09-30,,USD
918,CRTD,CRTD,2023-11-14,2023-09-30,,USD
3855,WOWID,WOWID,2023-11-14,2023-09-30,0,USD
3854,WOWI,WOWI,2023-11-14,2023-09-30,0,USD
3853,WORX,SCWorx Corp,2023-11-14,2023-09-30,,USD
858,CNVS,Cineverse Corp - Class A,2023-11-14,2023-09-30,-0.16,USD
564,BRCNF,BRCNF,2023-11-14,2023-09-30,,CAD
3108,SBH,Sally Beauty Holdings Inc,2023-11-14,2023-09-30,0.46,USD
152,ALYA,Alithya Group Inc - Class A - Class A (Sub Voting),2023-11-14,2023-09-30,-0.0161,CAD
2187,LUNA,Luna Innovations Inc,2023-11-14,2023-09-30,0.07,USD
2149,LOMLF,LOMLF,2023-11-14,2023-09-30,,CAD
2182,LTTC,LTTC,2023-11-14,2023-09-30,0,USD
1682,HD,Home Depot Inc,2023-11-14,2023-10-31,3.78,USD
167,AMIVF,AMIVF,2023-11-14,2023-09-30,,CAD
3410,SYPR,Sypris Solutions Inc,2023-11-14,2023-09-30,,USD
2156,LOWLF,LOWLF,2023-11-14,2023-09-30,,USD
933,CSIQ,Canadian Solar Inc,2023-11-14,2023-09-30,0.8163,USD
149,ALTU,Altitude Acquisition Corp - Class A,2023-11-14,2023-09-30,,USD
3411,SYRS,Syros Pharmaceuticals Inc,2023-11-14,2023-09-30,-1.14,USD
3072,RWEOY,RWEOY,2023-11-14,2023-09-30,0.6492,EUR
3835,WKME,WalkMe Ltd,2023-11-14,2023-09-30,-0.01,USD
569,BRLI,Brilliant Acquisition Corp,2023-11-14,2023-09-30,,USD
1703,HGHAF,HGHAF,2023-11-14,2023-09-30,,CAD
1691,HEOFF,HEOFF,2023-11-14,2023-09-30,,CAD
3834,WKHS,Workhorse Group Inc,2023-11-14,2023-09-30,-0.12,USD
2221,MAURY,MAURY,2023-11-14,2023-09-30,0.6029,JPY
104,AHIX,AHIX,2023-11-14,2023-09-30,0,USD
581,BRTX,BioRestorative Therapies Inc,2023-11-14,2023-09-30,-0.68,USD
902,CRKN,Crown ElectroKinetics Corp,2023-11-14,2023-09-30,0,USD
928,CSCO,Cisco Systems Inc,2023-11-14,2023-10-31,0.9923,USD
2209,MACE,MACE,2023-11-14,2023-09-30,,USD
3829,WHTCF,WHTCF,2023-11-14,2023-09-30,,CAD
1735,HNHPF,HNHPF,2023-11-14,2023-09-30,0.1572,TWD
578,BRST,BRST,2023-11-14,2023-09-30,,USD
3042,ROYL,ROYL,2023-11-14,2023-09-30,0,USD
597,BTAI,BioXcel Therapeutics Inc,2023-11-14,2023-09-30,-1.3,USD
3379,SURG,Surgepays Inc,2023-11-14,2023-09-30,0.28,USD
2126,LIZI,Lizhi Inc,2023-11-14,2023-09-30,,CNY
2128,LLAP,Terran Orbital Corp - Class A,2023-11-14,2023-09-30,-0.1967,USD
2282,MFMLF,MFMLF,2023-11-14,2023-09-30,,CAD
3896,XNET,Xunlei Ltd,2023-11-14,2023-09-30,,USD
3171,SGRP,Spar Group Inc,2023-11-14,2023-09-30,0.01,USD
3168,SGML,Sigma Lithium Corporation,2023-11-14,2023-09-30,1.25,CAD
829,CMTV,CMTV,2023-11-14,2023-09-30,,USD
3143,SEGI,SEGI,2023-11-14,2023-09-30,0,USD
908,CRMD,CorMedix Inc,2023-11-14,2023-09-30,-0.21,USD
113,AIMFF,AIMFF,2023-11-14,2023-09-30,,CAD
2133,LMPX,LMPX,2023-11-14,2023-09-30,0,USD
3140,SEBC,SEBC,2023-11-14,2023-09-30,,USD
2197,LX,LexinFintech Holdings Ltd,2023-11-14,2023-09-30,,CNY
116,AIRI,Air Industries Group,2023-11-14,2023-09-30,,USD
3893,XESP,XESP,2023-11-14,2023-09-30,,USD
1758,HRTX,Heron Therapeutics Inc,2023-11-14,2023-09-30,-0.29,USD
3129,SCVL,Shoe Carnival Inc,2023-11-14,2023-08-31,,USD
3037,ROMJF,ROMJF,2023-11-14,2023-09-30,,CAD
1752,HPTO,HPTO,2023-11-14,2023-09-30,,USD
2193,LVTX,LAVA Therapeutics NV,2023-11-14,2023-09-30,-0.49,EUR
2194,LVVV,LVVV,2023-11-14,2023-09-30,,USD
2266,MEDIF,MEDIF,2023-11-14,2023-09-30,,CAD
3073,RWLK,Rewalk Robotics Ltd,2023-11-14,2023-09-30,-0.11,USD
1759,HRUFF,HRUFF,2023-11-14,2023-09-30,,CAD
3139,SE,Sea Ltd,2023-11-14,2023-09-30,0.03,USD
3889,XBOR,XBOR,2023-11-14,2023-09-30,0,USD
1653,GVP,GSE Systems Inc,2023-11-14,2023-09-30,-0.6,USD
3135,SDOT,Sadot Group Inc,2023-11-14,2023-09-30,0.01,USD
2808,PLCE,Childrens Place Inc,2023-11-15,2023-10-31,3.56,USD
3334,SSEZY,SSEZY,2023-11-15,2023-09-30,0,GBP
667,CATO,Cato Corp - Class A,2023-11-15,2023-10-31,,USD
3267,SNEX,StoneX Group Inc,2023-11-15,2023-09-30,2.26,USD
616,BWAY,Brainsway Ltd,2023-11-15,2023-09-30,-0.0447,USD
970,CUEN,Cuentas Inc,2023-11-15,2023-09-30,,USD
713,CDRO,Codere Online Luxembourg S.A,2023-11-15,2023-09-30,,EUR
3023,RMR,RMR Group Inc (The) - Class A,2023-11-15,2023-09-30,0.45,USD
3055,RSKD,Riskified Ltd - Class A,2023-11-15,2023-09-30,-0.06,USD
3594,TTEK,Tetra Tech Inc,2023-11-15,2023-09-30,1.43,USD
924,CRWS,Crown Crafts Inc,2023-11-15,2023-09-30,,USD
1241,ENMPY,ENMPY,2023-11-15,2023-09-30,0,USD
556,BPTH,Bio-Path Holdings Inc,2023-11-15,2023-09-30,-0.34,USD
955,CTLT,Catalent Inc,2023-11-15,2023-09-30,-0.14,USD
2778,PGNT,PGNT,2023-11-15,2023-09-30,,USD
2770,PFLT,PennantPark Floating Rate Capital Ltd,2023-11-15,2023-09-30,0.31,USD
3287,SONO,Sonos Inc,2023-11-15,2023-09-30,-0.18,USD
3031,RNWEY,RNWEY,2023-11-15,2023-09-30,-0.07,USD
695,CCGM,CCGM,2023-11-15,2023-09-30,0,USD
668,CATV,CATV,2023-11-15,2023-09-30,,USD
3435,TCEHY,TCEHY,2023-11-15,2023-09-30,0.566,HKD
2969,REE,REE Automotive Ltd - Class A,2023-11-15,2023-09-30,-2.19,USD
905,CRLBF,CRLBF,2023-11-15,2023-09-30,-0.04,USD
1141,DTSS,Datasea Inc,2023-11-15,2023-09-30,0,USD
456,BFI,BurgerFi International Inc,2023-11-15,2023-08-31,-0.23,USD
2938,RAASY,RAASY,2023-11-15,2023-09-30,,USD
2863,PROC,Procaps Group S.A,2023-11-15,2023-09-30,0.13,USD
2934,QUBT,Quantum Computing Inc,2023-11-15,2023-09-30,-0.1,USD
3536,TPCFF,TPCFF,2023-11-15,2023-08-31,,USD
638,CAAP,Corporacion America Airports S.A.,2023-11-15,2023-09-30,0.34,USD
600,BTCM,BIT Mining Ltd,2023-11-15,2023-09-30,,CNY
1131,DSX,Diana Shipping Inc,2023-11-15,2023-09-30,0.05,USD
1064,DGLY,Digital Ally Inc (New),2023-11-15,2023-09-30,-2.24,USD
