,ticker,title,overall_sentiment_label
28,NVDA,"Chipmaker Nvidia Flies Higher But Indicates Local Top May Be In: A Bull, Bear Case - NVIDIA  ( NASDAQ:NVDA ) ",Neutral
29,EW,P/E Ratio Insights for Edwards Lifesciences - Edwards Lifesciences  ( NYSE:EW ) ,Somewhat-Bullish
30,CRYPTO:BTC,Investors sit out ether futures ETFs as spot bitcoin fund hangs in limbo,Somewhat-Bullish
31,CRYPTO:ETH,Investors sit out ether futures ETFs as spot bitcoin fund hangs in limbo,Somewhat-Bullish
32,SLNH,"Crude Oil Moves Lower; Delta Air Lines Earnings Beat Expectations - BSQUARE  ( NASDAQ:BSQR ) , Delta Air Lines  ( NYSE:DAL ) ",Neutral
33,TTOO,"Crude Oil Moves Lower; Delta Air Lines Earnings Beat Expectations - BSQUARE  ( NASDAQ:BSQR ) , Delta Air Lines  ( NYSE:DAL ) ",Neutral
34,XOM,"Crude Oil Moves Lower; Delta Air Lines Earnings Beat Expectations - BSQUARE  ( NASDAQ:BSQR ) , Delta Air Lines  ( NYSE:DAL ) ",Neutral
35,SECO,"Crude Oil Moves Lower; Delta Air Lines Earnings Beat Expectations - BSQUARE  ( NASDAQ:BSQR ) , Delta Air Lines  ( NYSE:DAL ) ",Neutral
36,AWON,"Crude Oil Moves Lower; Delta Air Lines Earnings Beat Expectations - BSQUARE  ( NASDAQ:BSQR ) , Delta Air Lines  ( NYSE:DAL ) ",Neutral
37,BSQR,"Crude Oil Moves Lower; Delta Air Lines Earnings Beat Expectations - BSQUARE  ( NASDAQ:BSQR ) , Delta Air Lines  ( NYSE:DAL ) ",Neutral
38,OPGN,"Crude Oil Moves Lower; Delta Air Lines Earnings Beat Expectations - BSQUARE  ( NASDAQ:BSQR ) , Delta Air Lines  ( NYSE:DAL ) ",Neutral
39,DAL,"Crude Oil Moves Lower; Delta Air Lines Earnings Beat Expectations - BSQUARE  ( NASDAQ:BSQR ) , Delta Air Lines  ( NYSE:DAL ) ",Neutral
40,RVLP,"Crude Oil Moves Lower; Delta Air Lines Earnings Beat Expectations - BSQUARE  ( NASDAQ:BSQR ) , Delta Air Lines  ( NYSE:DAL ) ",Neutral
41,MSFT,"MDB Stock: 'Explosive Data Growth' Makes MongoDB A Buy, Analyst Says",Somewhat-Bullish
42,ORCL,"MDB Stock: 'Explosive Data Growth' Makes MongoDB A Buy, Analyst Says",Somewhat-Bullish
43,MDB,"MDB Stock: 'Explosive Data Growth' Makes MongoDB A Buy, Analyst Says",Somewhat-Bullish
44,BAC,"MDB Stock: 'Explosive Data Growth' Makes MongoDB A Buy, Analyst Says",Somewhat-Bullish
45,AMZN,"MDB Stock: 'Explosive Data Growth' Makes MongoDB A Buy, Analyst Says",Somewhat-Bullish
46,TAMG,Israel Must Not React Stupidly,Neutral
47,NFLX,Even Disney's Magical Kingdom Is Going Through Dark Times - Walt Disney  ( NYSE:DIS ) ,Neutral
48,DIS,Even Disney's Magical Kingdom Is Going Through Dark Times - Walt Disney  ( NYSE:DIS ) ,Neutral
49,DSSMY,"Lamb Weston Is A Compelling Investment Opportunity, Says Analyst - Lamb Weston Hldgs  ( NYSE:LW ) ",Bullish
50,LW,"Lamb Weston Is A Compelling Investment Opportunity, Says Analyst - Lamb Weston Hldgs  ( NYSE:LW ) ",Bullish
51,GOOG,"Google Agrees to Pay German Publishers $3.4M Annually for News Content - Alphabet  ( NASDAQ:GOOG ) , Alphabet  ( NASDAQ:GOOGL ) ",Neutral
52,META,"Google Agrees to Pay German Publishers $3.4M Annually for News Content - Alphabet  ( NASDAQ:GOOG ) , Alphabet  ( NASDAQ:GOOGL ) ",Neutral
53,INTU,Intuit Unusual Options Activity For October 12 - Intuit  ( NASDAQ:INTU ) ,Neutral
54,WFC,Intuit Unusual Options Activity For October 12 - Intuit  ( NASDAQ:INTU ) ,Neutral
55,GS,Check Out What Whales Are Doing With Estee Lauder Cos - Estee Lauder Cos  ( NYSE:EL ) ,Neutral
56,JPM,Check Out What Whales Are Doing With Estee Lauder Cos - Estee Lauder Cos  ( NYSE:EL ) ,Neutral
57,C,Check Out What Whales Are Doing With Estee Lauder Cos - Estee Lauder Cos  ( NYSE:EL ) ,Neutral
58,AXP,JPMorgan chief Dimon warns of 'ripple effects' from Middle East violence,Neutral
59,JPM,JPMorgan chief Dimon warns of 'ripple effects' from Middle East violence,Neutral
60,ZTS,Drugmaker AbbVie Stock Sees Improved Relative Price Strength,Bullish
61,ABBV,Drugmaker AbbVie Stock Sees Improved Relative Price Strength,Bullish
62,SCHW,"Social Security Is Increasing: Here's How Much More You'll Get If You Qualify - JPMorgan Chase  ( NYSE:JPM ) , Charles Schwab  ( NYSE:SCHW ) , SPDR S&P 500  ( ARCA:SPY ) ",Somewhat-Bullish
63,JPM,"Social Security Is Increasing: Here's How Much More You'll Get If You Qualify - JPMorgan Chase  ( NYSE:JPM ) , Charles Schwab  ( NYSE:SCHW ) , SPDR S&P 500  ( ARCA:SPY ) ",Somewhat-Bullish
64,ALHC,"Analyst Cautiously Optimistic On Alignment Healthcare, Assesses Journey to Profitability Of Medicare Advantage Firm - Alignment Healthcare  ( NASDAQ:ALHC ) ",Somewhat-Bullish
65,META,"SiC Fiber Market Size is Anticipated to Reach $ 1,768 Million by 2030: Straits Research",Somewhat-Bullish
66,NCRBF,"SiC Fiber Market Size is Anticipated to Reach $ 1,768 Million by 2030: Straits Research",Somewhat-Bullish
67,CCZ,"Comcast, Disney hire investment banks to value Hulu as sale process makes progress",Somewhat-Bullish
68,GS,"Comcast, Disney hire investment banks to value Hulu as sale process makes progress",Somewhat-Bullish
69,JPM,"Comcast, Disney hire investment banks to value Hulu as sale process makes progress",Somewhat-Bullish
70,MS,"Comcast, Disney hire investment banks to value Hulu as sale process makes progress",Somewhat-Bullish
71,SNEJF,"Gal Gadot, Jerry Seinfeld, Jamie Lee Curtis, Chris Pine, Mayim Bialik, Liev Schreiber, Amy Schumer, Michael Douglas, Debra Messing, Among 700+ Entertainment Leaders Standing With Israel",Neutral
72,MAT,"Gal Gadot, Jerry Seinfeld, Jamie Lee Curtis, Chris Pine, Mayim Bialik, Liev Schreiber, Amy Schumer, Michael Douglas, Debra Messing, Among 700+ Entertainment Leaders Standing With Israel",Neutral
73,MDNDF,Chipotle raising menu prices to offset inflation,Neutral
74,DMPZF,Chipotle raising menu prices to offset inflation,Neutral
75,DPZ,Chipotle raising menu prices to offset inflation,Neutral
76,GOOG,THE PICKLR AND THE DINK TEAM UP FOR THE BIGGEST GIVEAWAY IN PICKLEBALL HISTORY,Bullish
77,META,THE PICKLR AND THE DINK TEAM UP FOR THE BIGGEST GIVEAWAY IN PICKLEBALL HISTORY,Bullish
78,SSNLF,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit,Somewhat-Bullish
79,MAT,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit,Somewhat-Bullish
80,AAPL,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit,Somewhat-Bullish
81,C,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit,Somewhat-Bullish
82,VZ,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit,Somewhat-Bullish
83,LBTYA,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit,Somewhat-Bullish
84,WBD,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit,Somewhat-Bullish
85,TTWO,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit,Somewhat-Bullish
86,SSNLF,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit - PR Newswire,Somewhat-Bullish
87,MAT,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit - PR Newswire,Somewhat-Bullish
88,AAPL,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit - PR Newswire,Somewhat-Bullish
89,C,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit - PR Newswire,Somewhat-Bullish
90,VZ,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit - PR Newswire,Somewhat-Bullish
91,LBTYA,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit - PR Newswire,Somewhat-Bullish
92,WBD,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit - PR Newswire,Somewhat-Bullish
93,TTWO,The Paley Center for Media Announces Additional Speakers for the 29th Annual Paley International Council Summit - PR Newswire,Somewhat-Bullish
94,CRYPTO:ETH,"How Today's Gaming Industry Intertwines With Blockchain, Crypto, NFTs, Tokenization",Somewhat-Bullish
95,CRYPTO:MANA,"How Today's Gaming Industry Intertwines With Blockchain, Crypto, NFTs, Tokenization",Somewhat-Bullish
