,ticker,title,overall_sentiment_label
84,WBD,Michigan man banned from Yellowstone National Park and facing federal charges after traveling off-trail in a thermal area while under influence,Somewhat-Bearish
0,CRYPTO:BTC,"Bone ShibaSwap Defies The Odds Jumps 12% Even As Bitcoin, Ethereum, Dogecoin Take A Hit",Neutral
1,CRYPTO:ETH,"Bone ShibaSwap Defies The Odds Jumps 12% Even As Bitcoin, Ethereum, Dogecoin Take A Hit",Neutral
2,CRYPTO:SHIB,"Bone ShibaSwap Defies The Odds Jumps 12% Even As Bitcoin, Ethereum, Dogecoin Take A Hit",Neutral
3,CRYPTO:DOGE,"Bone ShibaSwap Defies The Odds Jumps 12% Even As Bitcoin, Ethereum, Dogecoin Take A Hit",Neutral
4,CRYPTO:KSM,"Bone ShibaSwap Defies The Odds Jumps 12% Even As Bitcoin, Ethereum, Dogecoin Take A Hit",Neutral
5,FOX,UFO Whistleblower Criticizes Chris Christie's Response In GOP Debate: 'Americans Deserve Answers...Not Jokes',Neutral
7,GM,"VinFast, Arm and Other Index Orphans Miss Out on Billions From Passive Investors",Neutral
9,TSLA,Elon Musk Teases Possible Friday Night Livestream For Tesla's Version 12 Full Self-Driving Test Drive - Tesla  ( NASDAQ:TSLA ) ,Neutral
12,FOX,Donald Trump's Daughter-In-Law Says Georgia Indictment 'Solidified' Ex-President's 2024 Run: 'His Poll Numbers Continue To Rise',Neutral
14,MSFT,China-based 'Flax Typhoon' Hackers Targeting Taiwan Govt: Microsoft,Neutral
15,TSLA,Elon Musk Reveals Why He 'Stopped' Using TikTok: 'Felt Their AI Probing My Brain',Neutral
16,CRYPTO:DOGE,Elon Musk Reveals Why He 'Stopped' Using TikTok: 'Felt Their AI Probing My Brain',Neutral
17,CRYPTO:BTC,"Bitcoin, Ethereum, Dogecoin Slip Ahead Of Jerome Powell's Jackson Hole Speech: Analyst Predicts 'Grinding Bottom' For Apex Crypto, Identifies This Key BTC Level",Neutral
27,FOREX:AUD,Dollar loiters at two-month peak ahead of Powell speech,Neutral
28,FOREX:NZD,Dollar loiters at two-month peak ahead of Powell speech,Neutral
29,FOREX:JPY,Dollar loiters at two-month peak ahead of Powell speech,Neutral
30,FOREX:EUR,Dollar loiters at two-month peak ahead of Powell speech,Neutral
31,FOREX:GBP,Dollar loiters at two-month peak ahead of Powell speech,Neutral
32,FOREX:USD,Dollar loiters at two-month peak ahead of Powell speech,Neutral
33,NYT,The future of is coming into view as the network regains its footing following a rocky period | Business,Neutral
34,WBD,The future of is coming into view as the network regains its footing following a rocky period | Business,Neutral
35,NYT,The future of is coming into view as the network regains its footing following a rocky period | Business,Neutral
36,WBD,The future of is coming into view as the network regains its footing following a rocky period | Business,Neutral
46,DSSMY,Trump Returns To New Jersey After Arrest And Booking At Fulton County Jail,Neutral
47,DSSMY,Trump Surrenders at Atlanta Jail in Georgia Election Interference Case,Neutral
48,FOX,Trump Surrenders at Atlanta Jail in Georgia Election Interference Case,Neutral
53,QCOM,Economic concerns if Taiwan can't provide perfect environment for chip makers,Neutral
54,TSM,Economic concerns if Taiwan can't provide perfect environment for chip makers,Neutral
60,GM,"VinFast, Arm and Other Index Orphans Miss Out on Billions From Passive Investors",Neutral
61,MSFT,"Dropbox ditches unlimited storage offering, blaming crypto cloud miners",Neutral
62,GOOG,"Dropbox ditches unlimited storage offering, blaming crypto cloud miners",Neutral
63,DBX,"Dropbox ditches unlimited storage offering, blaming crypto cloud miners",Neutral
64,CRYPTO:BTC,"Dropbox ditches unlimited storage offering, blaming crypto cloud miners",Neutral
65,EVR,Asian Investors Resume Selloff On Rate Fears As Powell Speech Looms,Neutral
66,NVDA,Asian Investors Resume Selloff On Rate Fears As Powell Speech Looms,Neutral
67,FOREX:JPY,Asian Investors Resume Selloff On Rate Fears As Powell Speech Looms,Neutral
68,FOREX:EUR,Asian Investors Resume Selloff On Rate Fears As Powell Speech Looms,Neutral
69,EVR,Asian Investors Resume Selloff On Rate Fears As Powell Speech Looms,Neutral
70,NVDA,Asian Investors Resume Selloff On Rate Fears As Powell Speech Looms,Neutral
71,FOREX:JPY,Asian Investors Resume Selloff On Rate Fears As Powell Speech Looms,Neutral
72,FOREX:EUR,Asian Investors Resume Selloff On Rate Fears As Powell Speech Looms,Neutral
73,FOREX:INR,Rupee winning run to pause on dollar rally ahead of Powell's speech,Neutral
74,FOREX:USD,Rupee winning run to pause on dollar rally ahead of Powell's speech,Neutral
85,SZIHF,China is launching an 'unprecedented' crackdown on corruption in its health industry as economic woes pile up,Neutral
86,GLDAF,"Implantable vagus nerve stimulators market to reach $1.27 billion in 2033, forecasts GlobalData",Neutral
87,DWAC,"Trump returns to X, the site formerly known as Twitter, shortly after surrendering in Georgia",Neutral
88,META,"Trump returns to X, the site formerly known as Twitter, shortly after surrendering in Georgia",Neutral
89,FOX,"Trump returns to X, the site formerly known as Twitter, shortly after surrendering in Georgia",Neutral
91,DWAC,Donald Trump Just Shared His First Post On Elon Musk's X - And It's A Mugshot - Digital World Acq  ( NASDAQ:DWAC ) ,Neutral
92,WWE,"Bray Wyatt, Former WWE Champion, Dead at 36",Neutral
94,CCZ,The First GOP Debate Makes It Obvious Where the Republican Party Is Headed,Neutral
95,FI,The First GOP Debate Makes It Obvious Where the Republican Party Is Headed,Neutral
96,FOX,The First GOP Debate Makes It Obvious Where the Republican Party Is Headed,Neutral
97,YUGVF,The First GOP Debate Makes It Obvious Where the Republican Party Is Headed,Neutral
49,BCS,Ulta Beauty  ( ULTA )  Q2 2023 Earnings Call Transcript,Bullish
50,C,Ulta Beauty  ( ULTA )  Q2 2023 Earnings Call Transcript,Bullish
51,ULTA,Ulta Beauty  ( ULTA )  Q2 2023 Earnings Call Transcript,Bullish
52,GS,Ulta Beauty  ( ULTA )  Q2 2023 Earnings Call Transcript,Bullish
93,META,"Kharge, Rahul hail chess prodigy Pragg for performance at FIDE World Cup",Bullish
37,WMT,"Canada probes Walmart, Hugo Boss, Diesel over Uighur forced labour claims",Bearish
